"tshark_displayfilter_field","name"
"frame.time_epoch","Timestamp"
"frame.len","Ethernet Frame Length"
"radiotap.mactime","Radiotap Timestamp"
"wlan_radio.timestamp","WLAN Radio Timestamp"
"radiotap.channel.freq","Channel Frequency"
"wlan_radio.channel","Radio Channel No."
"wlan_radio.frequency","Radio Channel Frequency"
"radiotap.dbm_antsignal","Antenna Signal Power in dBm"
"radiotap.dbm_antnoise","Antenna Noise Power in dBm"
"wlan.ra","802.11 Receiver Address"
"wlan.ta","802.11 Transmitter Address"
"wlan.da","802.11 Destination Address"
"wlan.sa","802.11 Source Address"
"wlan.bssid","802.11 BSS ID"
"wlan.vht.mimo_control.control","VHT MIMO Control Info"
"wlan.vht.mimo_control.ncindex","VHT CBR Nc Index (Col)"
"wlan.vht.mimo_control.nrindex","VHT CBR Nr Index (Row)"
"wlan.vht.mimo_control.chanwidth","VHT CBR Channel Width"
"wlan.vht.compressed_beamforming_report","VHT Raw CBR"
"wlan.vht.compressed_beamforming_report.scidx","VHT Subcarrier Index"
