"tshark_displayfilter_field","name"
"frame.time_epoch","Timestamp"
"_ws.col.def_src","SrcIPv4/IPv6Addr"
"tcp.srcport","SrcPort(TCP)"
"udp.srcport","SrcPort(UDP)"
"_ws.col.def_dst","DstIPv4/IPv6Addr"
"tcp.dstport","DstPort(TCP)"
"udp.dstport","DstPort(UDP)"
"frame.len","Ethernet Length"
"ip.len","IPv4 Total Length"
"ip.proto","IPv4 Protocol"
"ipv6.nxt","IPv6 Next Header"
"tls.handshake.version","TLS Handshake Version"
"tls.handshake.ciphersuite","TLS Offered/Chosen Ciphersuite"
"tls.handshake.cipher_suites_length","TLS Offered Ciphersuite Length"
"tls.handshake.extension.type","TLS Extension List"
"tls.handshake.extension.len","TLS Handshake Extension Length"
"tls.handshake.extensions_server_name","TLS Handshake Extensions Server Name"
"tls.handshake.certificate","TLS Certificate"
"tls.handshake.certificate_length","TLS Certificate Length"
